id,name,parent_name,source,details
12,Mountain Dwarf,Dwarf,3,"As a mountain dwarf, you're strong and hardy, accustomed to a difficult life in rugged terrain. You're probably on the tall side (for a dwarf), and tend toward lighter coloration, The shield dwarves of northern Faerun, as well as the ruling Hylar c1an and the noble Daewar c1an of Dragonlance, are mountain dwarves.||||||Ability Score Increase. Your Strength score increases by 2.|||||||||Dwarven Armor Training. You have proficiency with light and medium armor.||||||"
13,Mark of Warding,Dwarf,17,"If you're a dwarf with the Mark of Warding, you have this subrace, with the following traits.||||||Ability Score Increase. Your Intelligence score increases by 1|||||||||Warder's Intuition. Whenever you make an Intelligence (Investigation) check or an Ability Check involving Thieves' Tools, you can roll a d4 and add the number rolled to the total ability check.|||||||||Wards and Seals. You can cast the Alarm and Mage Armor spells with this trait. Starting at 3rd level, you can also cast the Arcane Lock spell with it. Once you cast either spell with this trait, you can't cast that spell again until you finish a Long Rest. Intelligence is your Spellcasting Ability for these spells, and you don't require material components when you cast them with this trait.|||||||||Spells of the Mark. If you have the Spellcasting or Pact Magic class feature, the spells on the Mark of Warding Spells table are added to the spell list of your Spellcasting class.||||||Mark of Warding Spells|||||||||Spell Level|||Spell|||||||||1st|||Alarm, Armor of Agathys|||||||||2nd|||Arcane Lock, Knock|||||||||3rd|||Glyph of Warding, Magic Circle|||||||||4th|||Leomund's Secret Chest, Mordenkainen's Faithful Hound|||||||||5th|||Antilife Shell|||||||||"
14,Dwarf,,2,"Dwarves don’t understand laziness or shortcuts. Just as a machine must function smoothly at all times, so too an artisan should work steadily and with care. Dwarves take pride in their work ethic, and abhor any attitude or behavior that would undermine the quality of their work. They are more thorough than speedy, and although a dwarf’s work might take longer to complete, its quality makes the time worthwhile. If a job must be done, a dwarf will see that it is done correctly. And when a dwarf repairs a machine, it will work as well as it did when it was first built, if not better — and it will last.||||||Ability Score Increase. Your Constitution score increases by 2, and your Wisdom score increases by 1.|||||||||Age. Dwarves mature at the same rate as humans, but they're considered young until they reach the age of 50. On average, they live about 350 years.|||||||||Alignment. Most dwarves are lawful, believing firmly in the benefits of a well-ordered society. They tend toward good as well, with a strong sense of fair play and a belief that everyone deserves to share in the benefits of a just order.|||||||||Size. Dwarves stand around 5 feet tall and average about 150 pounds. Your size is Medium.|||||||||Speed. Your base walking speed is 25 feet. Your speed is not reduced by wearing heavy armor.|||||||||Darkvision. Accustomed to life underground in your race’s ancient past, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray.|||||||||Dwarven Resilience. You have advantage on saving throws against poison, and you have resistance against poison damage.|||||||||Dwarven Toughness. Your hit point maximum increases by 1, and it increases by 1 every time you gain a level.|||||||||Artisan's Expertise. You gain proficiency with two kinds of artisan’s tools of your choice. Your proficiency bonus is doubled for any ability check you make that uses either of the chosen proficiencies. In addition, whenever you make an Intelligence (History) check related to the origin of any architectural construction (including buildings, public works such as canals and aqueducts, and the massive cogwork that underlies much of the construction of Ghirapur), you are considered proficient in the History skill and add double your proficiency bonus to the check, instead of your normal proficiency bonus.|||||||||Languages. You can speak, read, and write Common and Dwarvish. Dwarvish is full of hard consonants and guttural sounds, and those characteristics spill over into whatever other language a dwarf might||||||See also: Duergar (MPMM)|||"
15,Dark Elf,Elf,3,"Descended from an earlier subrace of dark-skinned elves, the drow were banished from the surface world for following the goddess Lolth down the path to evil and corruption. Now they have built their own civilization in the depths of the Underdark, patterned after the Way of Lolth. Also called dark elves. The drow have black skin that resembles polished obsidian and stark white or pale yellow hair. They commonly have very pale eyes (so pale as to be mistaken for while) in shades of lilac, silver, pink, red, and blue. They lend to be smaller and thinner than most elves.|||Drow adventurers are rare, and the race does not exist in all worlds. Check with your Dungeon Master to see if you can play a drow character.||||||Ability Score Increase. Your Charisma score increases by 1.|||||||||Superior Darkvision. Your darkvision has a range of 120 feet, instead of 60.|||||||||Sunlight Sensitivity. You have disadvantage on attack rolls and Wisdom (Perception) checks that rely on sight when you, the target of the attack, or whatever you are trying to perceive is in direct sunlight.|||||||||Drow Magic. You know the Dancing Lights cantrip. When you reach 3rd level, you can cast the Faerie Fire spell once with this trait and regain the ability to do so when you finish a long rest. When you reach 5th level, you can cast the Darkness spell onceand regain the ability to do so when you finish a long rest. Charisma is your spellcasting ability for these spells.|||||||||Drow Weapon Training. You have proficiency with rapiers, shortswords, and hand crossbows.||||||"
16,High Elf,Elf,3,"As a high elf, you have a keen mind and a mastery of at least the basics of magic. In many of the worlds of D&amp;D, there are two kinds of high elves. One type (which includes the gray elves and valley elves of Greyhawk, the Silvanesti of Dragonlance, and the sun elves of the Forgotten Realms) is haughty and reclusive, believing themselves to be superior to non-elves and even other elves. The other type (including the high elves of Greyhawk. the Qualinesti of Dragonlance, and the moon elves of the Forgotten Realms) are more common and more friendly, and often encountered among humans and other races.|||The sun elves of Faerun (also called gold elves or sunrise elves) have bronze skin and hair of copper, black, or golden blood. Their eyes are golden, silver, or black. Moon elves (also called silver elves or gray elves) are much paler, with alabaster skin sometimes tinged with blue. They often have hair of silver-while, black, or blue, but various shades of blond, brown, and red are not uncommon. Their eyes are blue or green and flecked with gold.||||||Ability Score Increase. Your Intelligence score increases by 1.|||||||||Cantrip. You know one cantrip of your choice from the Wizard spell list. Intelligence is your spellcasting ability for it.|||||||||Elf Weapon Training. You have proficiency with the longsword, shortsword, shortbow, and longbow.|||||||||Extra Language. You can read, speak, and write one additional language of your choice.||||||"
17,Wood Elf,Elf,3,"As a wood elf, you have keen senses and intuition, and your fleet feet carry you quickly and stealthily through your native forests. This category includes the wild elves (grugach) of Greyhawk and the Kagonesti of Dragonlance, as well as the races called wood elves in Greyhawk and the Forgotten Realms. In Faerun, wood elves (also called wild elves. green elves, or forest elves) are reclusive and distrusting of non-elves.|||Wood elves' skin tends to be copperish in hue, sometimes with traces of green. Their hair tends toward browns and blacks, but it is occasionally blond or copper-colored. Their eyes are green, brown, or hazel.||||||Ability Score Increase. Your Wisdom score increases by 1.|||||||||Elf Weapon Training. You have proficiency with the longsword, shortsword, shortbow, and longbow.|||||||||Fleet of Foot. Your base walking speed increases to 35 feet.|||||||||Mask of the Wild. You can attempt to hide even when you are only lightly obscured by foliage, heavy rain, falling snow, mist, and other natural phenomena.||||||"
18,Pallid Elf,Elf,18,"The pallid elves are a mystical and insightful people with skin as pale as the surface of Exandria's largest moon. They emerged from the Pallid Grove this century and wander the world with childlike curiosity.||||||Ability Score Increase. Your Wisdom score increases by 1.|||||||||Incisive Sense. You have advantage on Investigation and Insight checks.|||||||||Blessing of the Moonweaver. You know the Light cantrip. When you reach 3rd level, you can cast Sleep once, and it recharges after a long rest. When you reach 5th level, you can cast Invisibility (Self Only) once, and it recharges after a long rest. You do not need the material components required of the spells. Wisdom is your spellcasting ability for these spells.||||||"
19,Mark of Shadow,Elf,17,"If you're an elf with the Mark of Shadow, you have this subrace, with the following traits.||||||Ability Score Increase. Your Charisma score increases by 1|||||||||Cunning Intuition. Whenever you roll a Dexterity (Stealth) check or a Charisma (Performance) check, roll a d4 and add the number rolled to the total ability check.|||||||||Shape Shadows. You know the <a href=""http://dnd5e.wikidot.com/spell:minor-illusion"" target=""_blank"">Minor Illusion cantrip. Starting at 3rd level, you can also cast the <a href=""http://dnd5e.wikidot.com/spell:invisibility"" target=""_blank"">Invisibility spell with this trait. Once you cast either spell with this trait, you can't cast that spell again until you finish a long rest. Charisma is your Spellcasting Ability for these spells.|||||||||Spells of the Mark. If you have the Spellcasting or Pact Magic class features, the spells on the Mark of Shadow Spells table are added to the spell list of your spellcasting class.||||||Mark of Shadow Spells|||||||||Spell Level|||Spell|||||||||1st|||<a href=""http://dnd5e.wikidot.com/spell:disguise-self"" target=""_blank"">Disguise Self, <a href=""http://dnd5e.wikidot.com/spell:silent-image"" target=""_blank"">Silent Image|||||||||2nd|||<a href=""http://dnd5e.wikidot.com/spell:darkness"" target=""_blank"">Darkness, <a href=""http://dnd5e.wikidot.com/spell:pass-without-trace"" target=""_blank"">Pass Without Trace|||||||||3rd|||<a href=""http://dnd5e.wikidot.com/spell:clairvoyance"" target=""_blank"">Clairvoyance, <a href=""http://dnd5e.wikidot.com/spell:major-image"" target=""_blank"">Major Image|||||||||4th|||<a href=""http://dnd5e.wikidot.com/spell:greater-invisibility"" target=""_blank"">Greater Invisibility, <a href=""http://dnd5e.wikidot.com/spell:hallucinatory-terrain"" target=""_blank"">Hallucinatory Terrain|||||||||5th|||<a href=""http://dnd5e.wikidot.com/spell:mislead"" target=""_blank"">Mislead|||||||||"
20,Astral Elf,Elf,22,"Source: Astral Adventurer's Guide|||Long ago, groups of elves ventured from the Feywild to the Astral Plane to be closer to their gods. Life in the Silver Void has imbued their souls with a spark of divine light. That light manifests as a starry gleam in an astral elf's eyes.|||Because nothing ages on the Astral Plane, astral elves who inhabit that plane can be very old, and their longevity gives them an unusual perspective on the passage of time. Some are prone to melancholy, while others might display an absence of feeling. Many look for creative ways to occupy themselves. Whether they choose to live in quiet contemplation or strike out to explore the reaches of the multiverse, astral elves tend to see things through the lens of time as having little or no meaning to them. Astral elves who don't dwell in the Astral Plane can live to be more than 750 years old.||||||Ability Score Increase. Increase one ability score by 2, and increase a different one by 1, or increase three different scores by 1.|||||||||Creature Type. You are a Humanoid. You are also considered an elf for any prerequisite or effect that requires you to be an elf.|||||||||Size. You are Medium.|||||||||Speed. Your walking speed is 30 feet.|||||||||Astral Fire. You know one of the following cantrips of your choice: Dancing Lights, Light, or Sacred Flame. Intelligence, Wisdom, or Charisma is your spellcasting ability for it (choose when you select this race).|||||||||Darkvision. You can see dim light within 60 feet of yourself as if it were bright light, and in darkness as if it were dim light. You discern colors in darkness only as shades of gray.|||||||||Fey Ancestry. You have advantage on saving throws you make to avoid or end the charmed condition on yourself.|||||||||Keen Senses. You have proficiency in the Perception skill.|||||||||Starlight Step. As a bonus action, you can magically teleport up to 30 feet to an unoccupied space you can see. You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.|||||||||Astral Trance. You don't need to sleep, and magic can't put you to sleep. You can finish a long rest in 4 hours if you spend those hours in a trancelike meditation, during which you remain conscious. Whenever you finish this trance, you gain proficiency in one skill of your choice and with one weapon or tool of your choice, selected from the Player's Handbook. You magically acquire these proficiencies by drawing them from shared elven memory and the experiences of entities on the Astral Plane, and you retain them until you finish your next long rest.|||||||||Languages. You can speak, read, and write Common and one other language that you and your DM agree is appropriate.||||||"
21,Bishtahar/Tirahar Elves,Elf,2,"Elves who dwell in the forest and countryside are known as the Bishtahar. Most live in isolated communities away from other races, though they still trade with them. In fact, much of Kaladesh’s food supply is grown by elves. Bishtahar cultivators grow food, decorative flowers, wood for building, and elaborate living sculptures in their meandering gardens and fields. They use the plane’s ubiquitous technology to foster the growth of plants and animals, utilizing automatons as gardeners and herders, and employing elaborate, nearly invisible systems controlling heat, water, and nutrients.|||Elves who forsake technology entirely are called the Tirahar. Some elves with Tirahar sympathies live within cities or farms, but most simply withdraw to the wilder areas of Kaladesh. No more than one in a hundred elves is counted among the Tirahar, and many members of other races are unaware that these reclusive elves even exist.||||||Ability Score Increase. Your Wisdom score increases by 1.|||||||||Elf Weapon Training. You have proficiency with the longsword, shortsword, shortbow, and longbow.|||||||||Fleet of Foot. Your base walking speed increases to 35 feet.|||||||||Mask of the Wild. You can attempt to hide even when you are only lightly obscured by foliage, heavy rain, falling snow, mist, and other natural phenomena.||||||"
22,Vahadar Elf,Elf,2,"The Vahadar are elves who dwell in the cities of Kaladesh. They are comfortable with technology, and work as planners, architects, aether-seers, or inventors. Some of them use the techniques of Bishtahar cultivators to grow food on rooftops, towers, and greenways. The Vahadar are generally integrated into the rest of society on Kaladesh, living in cities dominated by the other races (though, as in Ghirapur, many of them live in specific garden-like neighborhoods) and engaging in trade.||||||Ability Score Increase. Your Wisdom score increases by 1.|||||||||Elf Weapon Training. You have proficiency with the longsword, shortsword, shortbow, and longbow.|||||||||Cantrip. You know one cantrip of your choice from the Druid spell list. Wisdom is your spellcasting ability for it.|||||||||Extra Language. You can speak, read, and write one extra language of your choice.||||||"
