1,name,source,type,description
33,Imbued Wood Focus,17,"Wondrous item, common (requires attunement)","An imbued wood focus is a rod, staff, or wand cut from a tree infused with extraplanar energy. If you're a spellcaster, you can use this orb as a spellcasting focus.|||When you cast a damage-dealing spell using this item as your spellcasting focus, you gain a +1 bonus to one damage roll of the spell, provided the damage is of the type associated with the item's wood. The types of wood and their associated damage types are listed in the Imbued Wood Focus table.||||||Imbued Wood Focus|||Wood,Damage Type|||Fernian Ash,Fire|||Irian Rosewood,Radiant|||Kythrian Manchineel,Acid or poison|||Lamannian Oak,Lightning or thunder|||Mabaran Ebony,Necrotic|||Risian Pine,Cold|||Shavarran Birch,Force|||Xorian Wenge,Psychic|||"
34,Instrument of Illusions,7,"Wondrous item, common (requires attunement)","While you are playing this musical instrument, you can create harmless, illusory visual effects within a 5-foot-radius sphere centered on the instrument. If you are a bard, the radius increases to 15 feet. Sample visual effects include luminous musical notes, a spectral dancer, butterflies, and gently falling snow. The magical effects have neither substance nor sound, and they are obviously illusory. The effects end when you stop playing."
35,Instrument of Scribing,7,"Wondrous item, common (requires attunement)","This musical instrument has 3 charges. While you are playing it, you can use an action to expend 1 charge from the instrument and write a magical message on a nonmagical object or surface that you can see within 30 feet of you. The message can be up to six words long and is written in a language you know. If you are a bard, you can scribe an additional seven words and choose to make the message glow faintly, allowing it to be seen in nonmagical darkness. Casting Dispel Magic on the message erases it. Otherwise, the message fades away after 24 hours.|||The instrument regains all expended charges daily at dawn."
36,Keycharm,17,"Wondrous item, common (requires attunement by a creature with the Mark of Warding)","This small stylized key plays a vital role in the work of House Kundarak. If you cast the Alarm, Arcane Lock, or Glyph of Warding spell, you can tie the effect to the keycharm so that whoever holds it receives the notification from the Alarm spell, bypasses the lock of the Arcane Lock spell, or avoids triggering the glyph placed by the Glyph of Warding spell. In addition, the holder (who needn't be attuned to the item) can take an action to end any one spell tied to it, provided the holder knows the command word you set for ending the tied spells. The keycharm can have up to three tied spells at one time."
37,Lantern of Tracking,39,"Wondrous item, common","This hooded lantern burns for 6 hours on 1 pint of oil, shedding bright light in a 30-foot-radius and dim light for an additional 30 feet.|||Each Lantern of Tracking is designed to track down a certain type of creature, which is determined by rolling this creature type on the Lantern of Tracking table. Once determined, this creature type can't be changed. While the lantern is within 300 feet of any creature of that type, its flame turns bright green. The lantern doesn't pinpoint the creature's exact location, however.||||||Lantern of Tracking|||d10,Creature Type|||1,Aberrations|||2,Celestials|||3,Constructs|||4,Dragons|||5,Elementals|||6,Fey|||7,Fiends|||8,Giants|||9,Monstrosities|||10,Undead|||"
38,Lock of Trickery,7,"Wondrous item, common",This lock appears to be an ordinary lock (of the type described in chapter 5 of the Player's Handbook) and comes with a single key. The tumblers in this lock magically adjust to thwart burglars. Dexterity checks made to pick the lock have disadvantage.
39,Masque Charm,21,"Wondrous Item, Common","A masque charm is a small silver pin. While wearing this charm, you can use an action to cast the Disguise Self spell (DC 13 to discern the disguise). Once the spell is cast, it can't be cast from the charm again until the next sunset. When casting the spell, you can have the spell last for its normal 1 hour duration or for 6 hours. If you choose the 6-hour duration, the charm becomes nonmagical when the spell ends. In either case, the spell ends if the charm is removed from you."
40,Masquerade Tattoo,9,"Wondrous item (tattoo), common (requires attunement)","Produced by a special needle, this magic tattoo appears on your body as whatever you desire.|||Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin.|||If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space.|||Fluid Ink. As a bonus action, you can shape the tattoo into any color or pattern and move it to any area of your skin. Whatever form it takes, it is always obviously a tattoo. It can range in size from no smaller than a copper piece to an intricate work of art that covers all your skin.|||Disguise Self. As an action, you can use the tattoo to cast the Disguise Self spell (DC 13 to discern the disguise). Once the spell is cast from the tattoo, it can't be cast from the tattoo again until the next dawn."
41,Medal of Muscle,42,"Wondrous item, common","You can squeeze this medal tightly in the palm of your hand as an action. Doing so gives you advantage on Strength checks and Strength saving throws for 1 hour. Once this property has been used, it can’t be used again, an the medal becomes nonmagical."
42,Medal of the Conch,42,"Wondrous item, common","When you use an action to rub this medal, you gain a swimming speed equal to your walking speed for 1 hour. Once this property has been used, it can’t be used again, and the medal becomes nonmagical."
43,Medal of the Horizonback,42,"Wondrous item, common","When you would be hit by an attack, you can use your reaction to increase your AC by 5 until the start of your next turn, including against the triggering attack. You must be wearing the medal and able to see the creature that made the triggering attack to use this property. Once this property has been used, it can’t be used again, and the medal becomes nonmagical."
44,Medal of the Maze,42,"Wondrous item, common","When you use an action to trace the maze inscribed on this medal, you gain advantage on Wisdom checks and know the quickest route to the end of any nonmagical path or maze for 1 hour. Once this property has been used, it can’t be used again, and the medal becomes nonmagical."
45,Medal of the Meat Pie,42,"Wondrous item, common","You gain 2d4 + 2 temporary hit points when you use an action to press this medal to your mouth. Once this property has been used, it can’t be used again, and the medal becomes nonmagical.|||While magical, this medal is slightly warm to the touch (as if it’s fresh from the oven) and smells faintly of baked pie crust."
46,Medal of the Wetlands,42,"Wondrous item, common","When you use an action to trace the edge of this medal, difficult terrain doesn’t cost you extra movement for 1 hour. Once this property has been used, it can’t be used again, and the medal becomes nonmagical."
47,Medal of Wit,42,"Wondrous Item, Common","You can press this medal to your temple as an action. Doing so gives you advantage on Intelligence checks and Intelligence saving throws for 1 hour. Once this property has been used, it can’t be used again, and the medal becomes nonmagical."
48,Moodmark Paint,15,"Wondrous item, common","This thick, black paint is stored in a small jar, containing enough paint to apply moodmarks to one creature. The paint is dabbed on the face in spots or markings that often resemble the eyes of insects or spiders. Applying the paint in this way takes 1 minute.|||For the next 8 hours, the marks change to reflect your mental state. A creature that can see you and makes a successful DC 10 Wisdom (Insight) check can discern whether you are happy, sad, angry, disgusted, surprised, or afraid, as well as the main source of that emotion. For example, you might communicate fear caused by a monster you just saw around the corner, grief at the loss of a friend, or happiness derived from pride in your performance in combat. A dark elf has advantage on this check."
49,Moon-Touched Sword,7,"Weapon (any sword), common","In darkness, the unsheathed blade of this sword sheds moonlight, creating bright light in a 15-foot radius and dim light for an additional 15 feet."
50,Mystery Key,7,"Wondrous item, common","A question mark is worked into the head of this key. The key has a 5 percent chance of unlocking any lock into which it's inserted. Once it unlocks something, the key disappears."
51,Orb of Direction,7,"Wondrous item, common","While holding this orb, you can use an action to determine which way is north. This property functions only on the Material Plane."
52,Orb of Shielding,17,"Wondrous item, common (requires attunement)","An orb of shielding is a polished, spherical chunk of crystal or stone aligned to one of the planes of existence. If you're a spellcaster, you can use this orb as a spellcasting focus.|||If you're holding the orb when you take damage of the type associated with the orb's material, you can use your reaction to reduce the damage by 1d4 (to a minimum of 0). The materials and their associated damage types are listed in the Orb of Shielding table.||||||Orb of Shielding|||Planar Material,Damage Type|||Fernian basalt,Fire|||Irian quartz,Radiant|||Kythrian skarn,Acid and poison|||Lamannian flint,Lightning and thunder|||Mabaran obsidian,Necrotic|||Risian shale,Cold|||Shavarran chert,Force|||Xorian marble,Psychic|||"
53,Orb of Time,7,"Wondrous item, common","While holding this orb, you can use an action to determine whether it is morning, afternoon, evening, or nighttime outside. This property functions only on the Material Plane."
54,Perfume of Bewitching,7,"Wondrous item, common","This tiny vial contains magic perfume, enough for one use. You can use an action to apply the perfume to yourself, and its effect lasts 1 hour. For the duration, you have advantage on all Charisma checks directed at humanoids of challenge rating 1 or lower. Those subjected to the perfume's effect are not aware that they've been influenced by magic."
55,Pipe of Remembrance,35,"Wondrous item, common","This long, delicate wooden pipe features a bowl made from smooth river stone. When the pipe is lit. smoke exhaled from it does not dissipate, instead lingering around the bearer. After 10 minutes, the smoke forms moving shapes that reenact the bearer's most impressive and heroic achievements for 5 minutes. When this realistic performance is complete, the smoke dissipates. The pipe can't be used this way again until the next dawn."
56,Pipe of Smoke Monsters,7,"Wondrous item, common","While smoking this pipe, you can use an action to exhale a puff of smoke that takes the form of a single creature, such as a dragon, a flumph, or a froghemoth. The form must be small enough to fit in a 1-foot cube and loses its shape after a few seconds, becoming an ordinary puff of smoke."
57,Pole of Angling,7,"Wondrous item, common","While holding this 10-foot pole, you can speak a command word and transform it into a fishing pole with a hook, a line, and a reel. Speaking the command word again changes the fishing pole back into a normal 10-foot pole."
58,Pole of Collapsing,7,"Wondrous item, common","While holding this 10-foot pole, you can use an action to speak a command word and cause it to collapse into a 1-foot-long rod, for ease of storage. The pole's weight doesn't change. You can use an action to speak a different command word and cause the rod to revert to a pole; however, the rod will elongate only as far as the surrounding space allows."
59,Pot of Awakening,7,"Wondrous item, common","If you plant an ordinary shrub in this 10-pound clay pot and let it grow for 30 days, the shrub magically transforms into an awakened shrub (see the Monster Manual for statistics) at the end of that time. When the shrub awakens, its roots break the pot, destroying it.|||The awakened shrub is friendly toward you. Absent commands from you, it does nothing."
60,Potion of Climbing,4,"Potion, common","When you drink this potion, you gain a climbing speed equal to your walking speed for 1 hour. During this time, you have advantage on Strength (Athletics) checks you make to climb. The potion is separated into brown, silver, and gray layers resembling bands of stone. Shaking the bottle fails to mix the colors."
61,Potion of Healing,4,"Potion, rarity varies","You regain hit points when you drink this potion. The number of hit points depends on the potion's rarity, as shown in the Potions of Healing table. Whatever its potency, the potion's red liquid glimmers when agitated.||||||Potions of Healing|||Potion of …,Rarity,HP Regained|||Healing,Common,2d4 + 2|||Greater healing,Uncommon,4d4 + 4|||Superior healing,Rare,8d4 + 8|||Supreme healing,Very rare,10d4 + 20|||"
62,Pressure Capsule,35,"Wondrous item, common","This small capsule is made of beeswax blended with sand and a variety of enchanted water plants. A creature who consumes a pressure capsule ignores the effects of swimming at depths greater than 100 feet (see ""Unusual Environments"" in chapter 5 of the Dungeon Master's Guide)."
63,Prosthetic Limb,9,"Wondrous item, common","This item replaces a lost limb a hand, an arm, a foot, a leg, or a similar body part. While the prosthetic is attached, it functions identically to the part it replaces. You can detach or reattach it as an action, and it can't be removed against your will. It detaches if you die."
64,Rope of Mending,7,"Wondrous item, common","You can cut this 50-foot coil of hempen rope into any number of smaller pieces, and then use an action to speak a command word and cause the pieces to knit back together. The pieces must be in contact with each other and not otherwise in use. A rope of mending is forever shortened if a section of it is lost or destroyed."
65,Ruby of the War Mage,7,"Wondrous item, common (requires attunement by a spellcaster)","Etched with eldritch runes, this 1-inch-diameter ruby allows you to use a simple or martial weapon as a spellcasting focus for your spells. For this property to work, you must attach the ruby to the weapon by pressing the ruby against it for at least 10 minutes. Thereafter, the ruby can't be removed unless you detach it as an action or the weapon is destroyed. Not even an Antimagic Field causes it to fall off. The ruby does fall off the weapon if your attunement to the ruby ends."
66,Scribe's Pen,17,"Wondrous item, common (requires attunement by a creature with the Mark of Scribing)","You can use this pen to write on any surface. You decide whether the writing is visible or invisible, but the writing is always visible to a person with the Mark of Scribing.|||Any creature with the Mark of Scribing can use an action to touch the invisible writing, making it visible to all.|||If you use the pen to write on a creature that isn't a construct, the writing fades after 7 days."
67,Sekolahian Worshipping Statuette,35,"Wondrous item, common","Skillfully carved from sandstone, this 1-foot-tall statuette depicts a shark twisting through the water with its mouth open. If any Tiny sea-dwelling animal is within 1 inch of the statuette's mouth, the shark flashes to life and deals 1 piercing damage to it. The shark can deal damage in this way no more than once per hour."
68,Shield of Expression,7,"Armor (shield), common","The front of this shield is shaped in the likeness of a face. While bearing the shield, you can use a bonus action to alter the face's expression."
69,Shiftweave,17,"Wondrous item, common","When a suit of shiftweave is created, up to five different outfits can be embedded into the cloth. While wearing the clothing, you can speak its command word as a bonus action to transform your outfit into your choice of one of the other designs contained within it. Regardless of its appearance, the outfit can't be anything but clothing. Although it can duplicate the look of other magical clothing, it doesn't gain their magical properties."
70,Smoldering Armor,7,"Armor, common","Wisps of harmless, odorless smoke rise from this armor while it is worn."
71,Spell Scroll,4,"Scroll, rarity varies","A spell scroll bears the words of a single spell, written in a mystical cipher. If the spell is on your class’s spell list, you can read the scroll and cast its spell without providing any material components. Otherwise, the scroll is unintelligible. Casting the spell by reading the scroll requires the spell’s normal casting time. Once the spell is cast, the words on the scroll fade, and it crumbles to dust. If the casting is interrupted, the scroll is not lost.|||If the spell is on your class's spell list but of a higher level than you can normally cast, you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC equals 10 + the spell's level. On a failed check, the spell disappears from the scroll with no other effect.|||Once the spell is cast, the words on the scroll fade, and the scroll itself crumbles to dust.|||The level of the spell on the scroll determines the spell's saving throw DC and attack bonus, as well as the scroll's rarity, as shown in the Spell Scroll table.|||A wizard spell on a spell scroll can be copied just as spells in spellbooks can be copied. When a spell is copied from a spell scroll, the copier must succeed on an Intelligence (Arcana) check with a DC equal to 10 + the spell's level. If the check succeeds, the spell is successfully copied. Whether the check succeeds or fails, the spell scroll is destroyed.||||||Spell Scroll,|||Spell Level,Rarity,Save DC,Attack Bonus|||Cantrip,Common,13,+5|||1st,Common,13,+5|||2nd,Uncommon,13,+5|||3rd,Uncommon,15,+7|||4th,Rare,15,+7|||5th,Rare,17,+9|||6th,Very rare,17,+9|||7th,Very rare,18,+10|||8th,Very rare,18,+10|||9th,Legendary,19,+11|||"
72,Spellshard,17,"Wondrous item, common","This polished Eberron dragonshard fits in the hand and stores information similar to a book. The shard can hold the equivalent of one book that's no more than 320 pages long. A shard can be created blank or already filled with information. When the shard is created, the creator can set a passphrase that must be spoken to access the information stored within.|||While holding the shard, you can use an action to open your mind to the shard, seeing its content in your mind. On subsequent rounds, reading the text or scribing new text on blank ""pages"" in the shard requires concentration (as if concentrating on a spell) and takes the same amount of time it takes you to read and write normally. Thinking of a particular phrase or topic draws you to the first section in the shard that addresses it.|||A wizard can use a spellshard as a spellbook, with the usual cost in gold and time to ""scribe"" a spell into the shard."
73,Spellwrought Tattoo,9,"Wondrous item (tattoo), rarity varies","Produced by a special needle, this magic tattoo contains a single spell of up to 5th level, wrought on your skin by a magic needle. To use the tattoo, you must hold the needle against your skin and speak the command word. The needle turns into ink that becomes the tattoo, which appears on the skin in whatever design you like. Once the tattoo is there, you can cast its spell, requiring no material components. The tattoo glows faintly while you cast the spell and for the spell's duration. Once the spell ends, the tattoo vanishes from your skin.|||The level of the spell in the tattoo determines the spell's saving throw DC, attack bonus, spellcasting ability modifier, and the tattoo's rarity, as shown in the Spellwrought Tattoo table.||||||Spellwrought Tattoo|||Spell Level,Rarity,Spellcasting Ability Modifier,Save DC,Attack Bonus|||Cantrip,Common,+3,13,+5|||1st,Common,+3,13,+5|||2nd,Uncommon,+3,13,+5|||3rd,Uncommon,+4,15,+7|||4th,Rare,+4,15,+7|||5th,Rare,+5,17,+9|||"
74,Staff of Adornment,7,"Staff, common","If you place an object weighing no more than 1 pound (such as a shard of crystal, an egg, or a stone) above the tip of the staff while holding it, the object floats an inch from the staff's tip and remains there until it is removed or until the staff is no longer in your possession. The staff can have up to three such objects floating over its tip at any given time. While holding the staff, you can make one or more of the objects slowly spin or turn in place."
75,Staff of Birdcalls,7,"Staff, common","This wooden staff is decorated with bird carvings. It has 10 charges. While holding it, you can use an action to expend 1 charge from the staff and cause it to create one of the following sounds out to a range of 60 feet: a finch's chirp, a raven's caw, a duck's quack, a chicken's cluck, a goose's honk, a loon's call, a turkey's gobble, a seagull's cry, an owl's hoot, or an eagle's shriek.|||The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff explodes in a harmless cloud of bird feathers and is lost forever."
76,Staff of Flowers,7,"Staff, common","This wooden staff has 10 charges. While holding it, you can use an action to expend 1 charge from the staff and cause a flower to sprout from a patch of earth or soil within 5 feet of you, or from the staff itself. Unless you choose a specific kind of flower, the staff creates a mild-scented daisy. The flower is harmless and nonmagical, and it grows or withers as a normal flower would.|||The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff turns into flower petals and is lost forever."
77,Strixhaven Pennant,21,"Wondrous Item, Common","This magic pennant bears the symbol of Strixhaven or one of its colleges: Lorehold, Prismari, Quandrix, Silverquill, or Witherbloom. While you wave the pennant, the symbol on it glitters, and the pennant sheds bright light in a 10-foot radius and dim light for an additional 10 feet."
78,Talking Doll,7,"Wondrous item, common (requires attunement)","While this stuffed doll is within 5 feet of you, you can spend a short rest telling it to say up to six phrases, none of which can be more than six words long, and set a condition under which the doll speaks each phrase. You can also replace old phrases with new ones. Whatever the condition, it must occur within 5 feet of the doll to make it speak. For example, whenever someone picks up the doll, it might say, ""I want a piece of candy."" The doll's phrases are lost when your attunement to the doll ends."
79,Tankard of Plenty,46,"Wondrous item, Common.","This golden stein is decorated with dancing|||dwarves and grain patterns.|||If you speak the command word (“Illefarn”)|||while grasping the handle, the tankard fills with|||three pints of rich dwarven ale. The tankard has|||3 charges. Using the tankard’s property expends|||1 charge, and the tankard regains all expended|||charges daily at dawn."
80,Tankard of Sobriety,7,"Wondrous item, common","This tankard has a stern face sculpted into one side. You can drink ale, wine, or any other nonmagical alcoholic beverage poured into it without becoming inebriated. The tankard has no effect on magical liquids or harmful substances such as poison."
81,Thermal Cube,39,"Wondrous item, common",This 3-inch cube of solid brimstone generates enough dry heat to keep the temperature within 15 feet of it at 95 degrees Fahrenheit (35 degrees Celsius).
82,Unbreakable Arrow,7,"Weapon (arrow), common","This arrow can't be broken, except when it is within an Antimagic Field."
83,Veteran's Cane,7,"Wondrous item, common","When you grasp this walking cane and use a bonus action to speak the command word, it transforms into an ordinary longsword and ceases to be magical."
84,Vox Seeker,18,"Wondrous item, common","This clockwork device resembles a metal crab the size of a dinner plate. Every action used to wind up the device allows it to operate for 1 minute, to a maximum of 10 minutes. While operational, the item uses the accompanying vox seeker stat block. This automaton is under the DM's control. A vox seeker reduced to 0 hit points is destroyed.||||||Vox Seeker|||Tiny construct, unaligned|||Armor Class 14 (natural armor)|||Hit Points 7 (2d4 + 2)|||Speed 20 ft., climb 20 ft.|||STR,DEX,CON,INT,WIS,CHA|||2 (-4),10 (+0),12 (+1),1 (-5),10 (+0),1 (-5)|||Damage Immunities: poison, psychic|||Condition Immunities: blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned|||Senses: blindsight 60 ft. (blind beyond this radius), passive Perception 10|||Languages: —|||Challenge: 1/8 (25 XP)|||Voice Lock. The vox seeker must move toward and attack the source of the nearest voice within 60 feet of it, to the exclusion of all other targets, for as long as it remains operational.|||Spider Climb. The vox seeker can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.|||Actions|||Pincer. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) piercing damage plus 3 lightning damage.|||"
85,Walloping Ammunition,7,"Weapon (any ammunition), common",This ammunition packs a wallop. A creature hit by the ammunition must succeed on a DC 10 Strength saving throw or be knocked prone.
86,Wand of Conducting,7,"Wand, common","This wand has 3 charges. While holding it, you can use an action to expend 1 of its charges and create orchestral music by waving it around. The music can be heard out to a range of 60 feet and ends when you stop waving the wand.|||The wand regains all expended charges daily at dawn. If you expend the wand's last charge, roll a d20. On a 1, a sad tuba sound plays as the wand crumbles to dust and is destroyed."
87,Wand of Pyrotechnics,7,"Wand, common","This wand has 7 charges. While holding it, you can use an action to expend 1 of its charges and create a harmless burst of multicolored light at a point you can see up to 60 feet away. The burst of light is accompanied by a crackling noise that can be heard up to 300 feet away. The light is as bright as a torch flame but lasts only a second.|||The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last charge, roll a d20. On a 1, the wand erupts in a harmless pyrotechnic display and is destroyed."
88,Wand of Scowls,7,"Wand, common","This wand has 3 charges. While holding it, you can use an action to expend 1 of its charges and target a humanoid you can see within 30 feet of you. The target must succeed on a DC 10 Charisma saving throw or be forced to scowl for 1 minute.|||The wand regains all expended charges daily at dawn. If you expend the wand's last charge, roll a d20. On a 1, the wand transforms into a Wand of Smiles."
89,Wand of Smiles,7,"Wand, common","This wand has 3 charges. While holding it, you can use an action to expend 1 of its charges and target a humanoid you can see within 30 feet of you. The target must succeed on a DC 10 Charisma saving throw or be forced to smile for 1 minute.|||The wand regains all expended charges daily at dawn. If you expend the wand's last charge, roll a d20. On a 1, the wand transforms into a Wand of Scowls."
