id,name,type,actions,ac,hp,spd,str,dex,con,int,wis,cha,extras,senses,languages,cr,source,image
62,"Brown Bear","Large beast, unaligned","Keen Smell. The bear has advantage on Wisdom (Perception) checks that rely on smell.|||Multiattack. The bear makes two attacks: one with its bite and one with its claws.|||Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) piercing damage.|||Claws. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.","11 (natural armor)","34 (4d10 + 12)"," 40 ft., climb 30 ft.","19 (+4)","10 (+0)","16 (+3)","2 (-4)","13 (+1)","7 (-2)","Skills: Perception +3|||","passive Perception 13","—","1 (200 XP)",5,""
63,Bugbear,"Medium humanoid (Goblinoid), chaotic evil","Brute. A melee weapon deals one extra die of its damage when the bugbear hits with it (included in the attack).|||Surprise Attack. If the bugbear surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 7 (2d6) damage from the attack.|||Morningstar. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 11 (2d8 + 2) piercing damage.|||Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 9 (2d6 + 2) piercing damage in melee or 5 (1d6 + 2) piercing damage at range."," 16 (hide armor, shield)","27 (5d8 + 5)","30 ft.","15 (+2)","14 (+2)","13 (+1)","8 (-1)","11 (+0)","9 (-1)","Skills: Stealth +6, Survival +2|||"," darkvision 60 ft., passive Perception 10"," Common, Goblin","1 (200 XP)",5,https://www.aidedd.org/dnd/images/bugbear.jpg
64,Bulette,"Large monstrosity, unaligned","Standing Leap. The bulette's long jump is up to 30 feet and its high jump is up to 15 feet, with or without a running start.|||Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 30 (4d12 + 4) piercing damage.|||Deadly Leap. If the bulette jumps at least 15 feet as part of its movement, it can then use this action to land on its feet in a space that contains one or more other creatures. Each of those creatures must succeed on a DC 16 Strength or Dexterity saving throw (target's choice) or be knocked prone and take 14 (3d6 + 4) bludgeoning damage plus 14 (3d6 + 4) slashing damage. On a successful save, the creature takes only half the damage, isn't knocked prone, and is pushed 5 feet out of the bulette's space into an unoccupied space of the creature's choice. If no unoccupied space is within range, the creature instead falls prone in the bulette's space.","17 (natural armor)","94 (9d10 + 45)"," 40 ft., burrow 40 ft.","19 (+4)","11 (+0)","21 (+5)","2 (-4)","10 (+0)","5 (-3)","Skills: Perception +6|||"," darkvision 60 ft., tremorsense 60 ft., passive Perception 16","—","5 (1800 XP)",5,https://www.aidedd.org/dnd/images/bulette.jpg
65,Bullywug,"Medium humanoid (Bullywug), neutral evil","Amphibious. The bullywug can breathe air and water.|||Speak with Frogs and Toads. The bullywug can communicate simple concepts to frogs and toads when it speaks in Bullywug.|||Swamp Camouflage. The bullywug has advantage on Dexterity (Stealth) checks made to hide in swampy terrain.|||Standing Leap. The bullywug's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start.|||Multiattack. The bullywug makes two melee attacks: one with its bite and one with its spear.|||Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) bludgeoning damage.|||Spear. Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) piercing damage if used with two hands to make a melee attack."," 15 (hide armor, shield)","11 (2d8 + 2)"," 20 ft., swim 40 ft.","12 (+1)","12 (+1)","13 (+1)","7 (-2)","10 (+0)","7 (-2)","Skills: Stealth +3|||","passive Perception 10",Bullywug,"1/4 (50 XP)",5,https://www.aidedd.org/dnd/images/bullywug.jpg
66,Cambion,"Medium fiend, any evil alignment","Fiendish Blessing. The AC of the cambion includes its Charisma bonus.|||Innate Spellcasting. The cambion's spellcasting ability is Charisma (spell save DC 14). The cambion can innately cast the following spells, requiring no material components:|||Multiattack. The cambion makes two melee attacks or uses its Fire Ray twice.|||Spear. Melee or Ranged Weapon Attack: +7 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 7 (1d6 + 4) piercing damage, or 8 (1d8 + 4) piercing damage if used with two hands to make a melee attack, plus 3 (1d6) fire damage.|||Fire Ray. Ranged Spell Attack: +7 to hit, range 120 ft., one target. Hit: 10 (3d6) fire damage.|||Fiendish Charm. One humanoid the cambion can see within 30 feet of it must succeed on a DC 14 Wisdom saving throw or be magically charmed for 1 day. The charmed target obeys the cambion's spoken commands. If the target suffers any harm from the cambion or another creature or receives a suicidal command from the cambion, the target can repeat the saving throw, ending the effect on itself on a success. If a target's saving throw is successful, or if the effect ends for it, the creature is immune to the cambion's Fiendish Charm for the next 24 hours.","19 (scale mail)","82 (11d8 + 33)"," 30 ft., fly 60 ft.","18 (+4)","18 (+4)","16 (+3)","14 (+2)","12 (+1)","16 (+3)","Saving Throws: Str +7, Con +6, Int +5, Cha +6|||Skills: Deception +6, Intimidation +6, Perception +4, Stealth +7|||Damage Resistances: cold, fire, lightning, poison; bludgeoning, piercing, and slashing from nonmagical attacks|||"," darkvision 60 ft., passive Perception 14"," Abyssal, Common, Infernal","5 (1800 XP)",5,https://www.aidedd.org/dnd/images/cambion.jpg
67,Camel,"Large beast, unaligned","Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.",9,"15 (2d10 + 4)","50 ft.","16 (+3)","8 (-1)","14 (+2)","2 (-4)","8 (-1)","5 (-3)","","passive Perception 9","—","1/8 (25 XP)",5,""
68,Cat,"Tiny beast, unaligned","Keen Smell. The cat has advantage on Wisdom (Perception) checks that rely on smell.|||Claws. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 slashing damage.",12,"2 (1d4)"," 40 ft., climb 30 ft.","3 (-4)","15 (+2)","10 (+0)","3 (-4)","12 (+1)","7 (-2)","Skills: Perception +3, Stealth +4|||","passive Perception 13","—","0 (10 XP)",5,""
69,Centaur,"Large monstrosity, neutral good","Charge. If the centaur moves at least 30 feet straight toward a target and then hits it with a pike attack on the same turn, the target takes an extra 10 (3d6) piercing damage.|||Multiattack. The centaur makes two attacks: one with its pike and one with its hooves or two with its longbow.|||Pike. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 9 (1d10 + 4) piercing damage.|||Hooves. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage.|||Longbow. Ranged Weapon Attack: +4 to hit, range 150/600 ft., one target. Hit: 6 (1d8 + 2) piercing damage.",12,"45 (6d10 + 12)","50 ft.","18 (+4)","14 (+2)","14 (+2)","9 (-1)","13 (+1)","11 (+0)","Skills: Athletics +6, Perception +3, Survival +3|||","passive Perception 13"," Elvish, Sylvan","2 (450 XP)",5,https://www.aidedd.org/dnd/images/centaur.jpg
70,"Chain Devil","Medium fiend (Devil), lawful evil","Devil's Sight. Magical darkness doesn't impede the devil's darkvision.|||Magic Resistance. The devil has advantage on saving throws against spells and other magical effects.|||Multiattack. The devil makes two attacks with its chains.|||Chain. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) slashing damage. The target is grappled (escape DC 14) if the devil isn't already grappling a creature. Until this grapple ends, the target is restrained and takes 7 (2d6) piercing damage at the start of each of its turns.|||Animate Chains (Recharges after a Short or Long Rest). Up to four chains the devil can see within 60 feet of it magically sprout razor-edged barbs and animate under the devil's control, provided that the chains aren't being worn or carried. Each animated chain is an object with AC 20, 20 hit points, resistance to piercing damage, and immunity to psychic and thunder damage. When the devil uses Multiattack on its turn, it can use each animated chain to make one additional chain attack. An animated chain can grapple one creature of its own but can't make attacks while grappling. An animated chain reverts to its inanimate state if reduced to 0 hit points or if the devil is incapacitated or dies.|||Unnerving Mask. When a creature the devil can see starts its turn within 30 feet of the devil, the devil can create the illusion that it looks like one of the creature's departed loved ones or bitter enemies. If the creature can see the devil, it must succeed on a DC 14 Wisdom saving throw or be frightened until the end of its turn.","16 (natural armor)","85 (10d8 + 40)","30 ft.","18 (+4)","15 (+2)","18 (+4)","11 (+0)","12 (+1)","14 (+2)","Saving Throws: Con +7, Wis +4, Cha +5|||Damage Resistances: cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered|||Damage Immunities: fire, poison|||Condition Immunities: poisoned|||"," darkvision 120 ft., passive Perception 11"," Infernal, telepathy 120 ft.","8 (3900 XP)",5,https://www.aidedd.org/dnd/images/chain-devil.jpg
71,Chimera,"Large monstrosity, chaotic evil","Multiattack. The chimera makes three attacks: one with its bite, one with its horns, and one with its claws. When its fire breath is available, it can use the breath in place of its bite or horns.|||Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) piercing damage.|||Horns. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 10 (1d12 + 4) bludgeoning damage.|||Claws. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.|||Fire Breath (Recharge 5-6). The dragon head exhales fire in a 15-foot cone. Each creature in that area must make a DC 15 Dexterity saving throw, taking 31 (7d8) fire damage on a failed save, or half as much damage on a successful one.","14 (natural armor)","114 (12d10 + 48)"," 30 ft., fly 60 ft.","19 (+4)","11 (+0)","19 (+4)","3 (-4)","14 (+2)","10 (+0)","Skills: Perception +8|||"," darkvision 60 ft., passive Perception 18","understands Draconic but can't speak","6 (2300 XP)",5,https://www.aidedd.org/dnd/images/chimera.jpg
72,Chuul,"Large aberration, chaotic evil","Amphibious. The chuul can breathe air and water.|||Sense Magic. The chuul senses magic within 120 feet of it at will. This trait otherwise works like the detect magic spell but isn't itself magical.|||Multiattack. The chuul makes two pincer attacks. If the chuul is grappling a creature, the chuul can also use its tentacles once.|||Pincer. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage. The target is grappled (escape DC 14) if it is a Large or smaller creature and the chuul doesn't have two other creatures grappled.|||Tentacles. One creature grappled by the chuul must succeed on a DC 13 Constitution saving throw or be poisoned for 1 minute. Until this poison ends, the target is paralyzed. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","16 (natural armor)","93 (11d10 + 33)"," 30 ft., swim 30 ft.","19 (+4)","10 (+0)","16 (+3)","5 (-3)","11 (+0)","5 (-3)","Skills: Perception +4|||Damage Immunities: poison|||Condition Immunities: poisoned|||"," darkvision 60 ft., passive Perception 14","understands Deep Speech but can't speak","4 (1100 XP)",5,https://www.aidedd.org/dnd/images/chuul.jpg
73,"Clay Golem","Large construct, unaligned","Acid Absorption. Whenever the golem is subjected to acid damage, it takes no damage and instead regains a number of hit points equal to the acid damage dealt.|||Berserk. Whenever the golem starts its turn with 60 hit points or fewer, roll a d6. On a 6, the golem goes berserk. On each of its turns while berserk, the golem attacks the nearest creature it can see. If no creature is near enough to move to and attack, the golem attacks an object, with preference for an object smaller than itself. Once the golem goes berserk, it continues to do so until it is destroyed or regains all its hit points.|||Immutable Form. The golem is immune to any spell or effect that would alter its form.|||Magic Resistance. The golem has advantage on saving throws against spells and other magical effects.|||Magic Weapons. The golem's weapon attacks are magical.|||Multiattack. The golem makes two slam attacks.|||Slam. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 16 (2d10 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 15 Constitution saving throw or have its hit point maximum reduced by an amount equal to the damage taken. The target dies if this attack reduces its hit point maximum to 0. The reduction lasts until removed by the greater restoration spell or other magic.|||Haste (Recharge 5-6). Until the end of its next turn, the golem magically gains a +2 bonus to its AC, has advantage on Dexterity saving throws, and can use its slam attack as a bonus action.","14 (natural armor)","133 (14d10 + 56)","20 ft.","20 (+5)","9 (-1)","18 (+4)","3 (-4)","8 (-1)","1 (-5)","Damage Immunities: acid, poison, psychic; bludgeoning, piercing and slashing from nonmagical attacks that aren't adamantine|||Condition Immunities: charmed, exhaustion, frightened, paralyzed, petrified, poisoned|||"," darkvision 60 ft., passive Perception 9","understands the languages of its creator but can't speak","9 (5000 XP)",5,https://www.aidedd.org/dnd/images/clay-golem.jpg
74,Cloaker,"Large aberration, chaotic neutral","Damage Transfer. While attached to a creature, the cloaker takes only half the damage dealt to it (rounded down), and that creature takes the other half.|||False Appearance. While the cloaker remains motionless without its underside exposed, it is indistinguishable from a dark leather cloak.|||Light Sensitivity. While in bright light, the cloaker has disadvantage on attack rolls and Wisdom (Perception) checks that rely on sight.|||Multiattack. The cloaker makes two attacks: one with its bite and one with its tail.|||Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one creature. Hit: 10 (2d6 + 3) piercing damage, and if the target is Large or smaller, the cloaker attaches to it. If the cloaker has advantage against the target, the cloaker attaches to the target's head, and the target is blinded and unable to breathe while the cloaker is attached. While attached, the cloaker can make this attack only against the target and has advantage on the attack roll. The cloaker can detach itself by spending 5 feet of its movement. A creature, including the target, can take its action to detach the cloaker by succeeding on a DC 16 Strength check.|||Tail. Melee Weapon Attack: +6 to hit, reach 10 ft., one creature. Hit: 7 (1d8 + 3) slashing damage.|||Moan. Each creature within 60 feet of the cloaker that can hear its moan and that isn't an aberration must succeed on a DC 13 Wisdom saving throw or become frightened until the end of the cloaker's next turn. If a creature's saving throw is successful, the creature is immune to the cloaker's moan for the next 24 hours|||Phantasms (Recharges after a Short or Long Rest). The cloaker magically creates three illusory duplicates of itself if it isn't in bright light. The duplicates move with it and mimic its actions, shifting position so as to make it impossible to track which cloaker is the real one. If the cloaker is ever in an area of bright light, the duplicates disappear. Whenever any creature targets the cloaker with an attack or a harmful spell while a duplicate remains, that creature rolls randomly to determine whether it targets the cloaker or one of the duplicates. A creature is unaffected by this magical effect if it can't see or if it relies on senses other than sight. A duplicate has the cloaker's AC and uses its saving throws. If an attack hits a duplicate, or if a duplicate fails a saving throw against an effect that deals damage, the duplicate disappears.","14 (natural armor)","78 (12d10 + 12)"," 10 ft., fly 40 ft.","17 (+3)","15 (+2)","12 (+1)","13 (+1)","12 (+1)","14 (+2)","Skills: Stealth +5|||"," darkvision 60 ft., passive Perception 11"," Deep Speech, Undercommon","8 (3900 XP)",5,https://www.aidedd.org/dnd/images/cloaker.jpg
75,"Cloud Giant","Huge giant, neutral good (50 %) or neutral evil (50 %)","Keen Smell. The giant has advantage on Wisdom (Perception) checks that rely on smell.|||InnateSpellcasting. The giant's innate spellcasting ability is Charisma. It can innately cast the following spells, requiring no material components:|||Multiattack. The giant makes two morningstar attacks.|||Morningstar. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 21 (3d8 + 8) piercing damage.|||Rock. Ranged Weapon Attack: +12 to hit, range 60/240 ft., one target. Hit: 30 (4d10 + 8) bludgeoning damage.","14 (natural armor)","200 (16d12 + 96)","40 ft.","27 (+8)","10 (+0)","22 (+6)","12 (+1)","16 (+3)","16 (+3)","Saving Throws: Con +10, Wis +7, Cha +7|||Skills: Insight +7, Perception +7|||","passive Perception 17"," Common, Giant","9 (5000 XP)",5,https://www.aidedd.org/dnd/images/cloud-giant.jpg
76,Cockatrice,"Small monstrosity, unaligned","Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 3 (1d4 + 1) piercing damage, and the target must succeed on a DC 11 Constitution saving throw against being magically petrified. On a failed save, the creature begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petrified for 24 hours.",11,"27 (6d6 + 6)"," 20 ft., fly 40 ft.","6 (-2)","12 (+1)","12 (+1)","2 (-4)","13 (+1)","5 (-3)",""," darkvision 60 ft., passive Perception 11","—","1/2 (100 XP)",5,https://www.aidedd.org/dnd/images/cockatrice.jpg
77,Commoner,"Medium humanoid (any race), any alignment","Club. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.",10,"4 (1d8)","30 ft.","10 (+0)","10 (+0)","10 (+0)","10 (+0)","10 (+0)","10 (+0)","","passive Perception 10","any one language (usually Common)","0 (10 XP)",5,""
78,"Constrictor Snake","Large beast, unaligned","Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6 + 2) piercing damage.|||Constrict. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 6 (1d8 + 2) bludgeoning damage, and the target is grappled (escape DC 14). Until this grapple ends, the creature is restrained, and the snake can't constrict another target.",12,"13 (2d10 + 2)"," 30 ft., swim 30 ft.","15 (+2)","14 (+2)","12 (+1)","1 (-5)","10 (+0)","3 (-4)",""," blindsight 10 ft., passive Perception 10","—","1/4 (50 XP)",5,""
79,"Copper Dragon Wyrmling","Medium dragon (Metallic), chaotic good","Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage.|||Breath Weapons (Recharge 5-6). The dragon uses one of the following breath weapons.|||Acid Breath. The dragon exhales acid in an 20-foot line that is 5 feet wide. Each creature in that line must make a DC 11 Dexterity saving throw, taking 18 (4d8) acid damage on a failed save, or half as much damage on a successful one.|||Slowing Breath. The dragon exhales gas in a 15-foot cone. Each creature in that area must succeed on a DC 11 Constitution saving throw. On a failed save, the creature can't use reactions, its speed is halved, and it can't make more than one attack on its turn. In addition, the creature can use either an action or a bonus action on its turn, but not both. These effects last for 1 minute. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself with a successful save.","16 (natural armor)","22 (4d8 + 4)"," 30 ft., climb 30 ft., fly 60 ft.","15 (+2)","12 (+1)","13 (+1)","14 (+2)","11 (+0)","13 (+1)","Saving Throws: Dex +3, Con +3, Wis +2, Cha +3|||Skills: Perception +4, Stealth +3|||Damage Immunities: acid|||"," blindsight 10 ft., darkvision 60 ft., passive Perception 14",Draconic,"1 (200 XP)",5,""
80,Couatl,"Medium celestial, lawful good","Innate Spellcasting. The couatl's spellcasting ability is Charisma (spell save DC 14). It can innately cast the following spells, requiring only verbal components:|||Magic Weapons. The couatl's weapon attacks are magical.|||Shielded Mind. The couatl is immune to scrying and to any effect that would sense its emotions, read its thoughts, or detect its location.|||Bite. Melee Weapon Attack: +8 to hit, reach 5 ft., one creature. Hit: 8 (1d6 + 5) piercing damage, and the target must succeed on a DC 13 Constitution saving throw or be poisoned for 24 hours. Until this poison ends, the target is unconscious. Another creature can use an action to shake the target awake.|||Constrict. Melee Weapon Attack: +6 to hit, reach 10 ft., one Medium or smaller creature. Hit: 10 (2d6 + 3) bludgeoning damage, and the target is grappled (escape DC 15). Until this grapple ends, the target is restrained, and the couatl can't constrict another target.|||Change Shape. The couatl magically polymorphs into a humanoid or beast that has a challenge rating equal to or less than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the couatl's choice). In a new form, the couatl retains its game statistics and ability to speak, but its AC, movement modes, Strength, Dexterity, and other actions are replaced by those of the new form, and it gains any statistics and capabilities (except class features, legendary actions, and lair actions) that the new form has but that it lacks. If the new form has a bite attack, the couatl can use its bite in that form.","19 (natural armor)","97 (13d8 + 39)"," 30 ft., fly 90 ft.","16 (+3)","20 (+5)","17 (+3)","18 (+4)","20 (+5)","18 (+4)","Saving Throws: Con +5, Wis +7, Cha +6|||Damage Resistances: radiant|||Damage Immunities: psychic; bludgeoning, piercing, and slashing from nonmagical attacks|||"," truesight 120 ft., passive Perception 15"," all, telepathy 120 ft.","4 (1100 XP)",5,https://www.aidedd.org/dnd/images/couatl.jpg
81,Crab,"Tiny beast, unaligned","Amphibious. The crab can breathe air and water.|||Claw. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 bludgeoning damage.","11 (natural armor)","2 (1d4)"," 20 ft., swim 20 ft.","2 (-4)","11 (+0)","10 (+0)","1 (-5)","8 (-1)","2 (-4)","Skills: Stealth +2|||"," blindsight 30 ft., passive Perception 9","—","0 (10 XP)",5,""
82,"Crawling Claw","Tiny undead, neutral evil","Turn Immunity. The claw is immune to effects that turn undead.|||Claw. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) bludgeoning or slashing damage (claw's choice).",12,"2 (1d4)"," 20 ft., climb 20 ft.","13 (+1)","14 (+2)","11 (+0)","5 (-3)","10 (+0)","4 (-3)","Damage Immunities: poison|||Condition Immunities: charmed, exhaustion, poisoned|||"," blindsight 30 ft. (blind beyond this radius), passive Perception 10","understands Common but can't speak","0 (10 XP)",5,https://www.aidedd.org/dnd/images/crawling-claw.jpg
83,Crocodile,"Large beast, unaligned","Hold Breath. The crocodile can hold its breath for 15 minutes.|||Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 7 (1d10 + 2) piercing damage, and the target is grappled (escape DC 12). Until this grapple ends, the target is restrained, and the crocodile can't bite another target.","12 (natural armor)","19 (3d10 + 3)"," 20 ft., swim 30 ft.","15 (+2)","10 (+0)","13 (+1)","2 (-4)","10 (+0)","5 (-3)","Skills: Stealth +2|||","passive Perception 10","—","1/2 (100 XP)",5,https://www.aidedd.org/dnd/images/crocodile.jpg
84,"Cult Fanatic","Medium humanoid (any race), any non-good alignment","Dark Devotion. The fanatic has advantage on saving throws against being charmed or frightened.|||Spellcasting. The fanatic is a 4th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 11, +3 to hit with spell attacks). The fanatic has the following cleric spells prepared:|||Multiattack. The fanatic makes two melee attacks.|||Dagger. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one creature. Hit: 4 (1d4 + 2) piercing damage.","13 (leather armor)","33 (6d8 + 6)","30 ft.","11 (+0)","14 (+2)","12 (+1)","10 (+0)","13 (+1)","14 (+2)","Skills: Deception +4, Persuasion +4, Religion +2|||","passive Perception 11","any one language (usually Common)","2 (450 XP)",5,https://www.aidedd.org/dnd/images/cult-fanatic.jpg
85,Cultist,"Medium humanoid (any race), any non-good alignment","Dark Devotion. The cultist has advantage on saving throws against being charmed or frightened.|||Scimitar. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 4 (1d6 + 1) slashing damage.","12 (leather armor)","9 (2d8)","30 ft.","11 (+0)","12 (+1)","10 (+0)","10 (+0)","11 (+0)","10 (+0)","Skills: Deception +2, Religion +2|||","passive Perception 10","any one language (usually Common)","1/8 (25 XP)",5,""
86,Cyclops,"Huge giant, chaotic neutral","Poor Depth Perception. The cyclops has disadvantage on any attack roll against a target more than 30 feet away.|||Multiattack. The cyclops makes two greatclub attacks.|||Greatclub. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 19 (3d8 + 6) bludgeoning damage.|||Rock. Ranged Weapon Attack: +9 to hit, range 30/120 ft., one target. Hit: 28 (4d10 + 6) bludgeoning damage.","14 (natural armor)","138 (12d12 + 60)","30 ft.","22 (+6)","11 (+0)","20 (+5)","8 (-1)","6 (-2)","10 (+0)","","passive Perception 8",Giant,"6 (2300 XP)",5,https://www.aidedd.org/dnd/images/cyclops.jpg
87,Dao,"Large elemental, neutral evil","Earth Glide. The dao can burrow through nonmagical, unworked earth and stone. While doing so, the dao doesn't disturb the material it moves through.|||Elemental Demise. If the dao dies, its body disintegrates into crystalline powder, leaving behind only equipment the dao was wearing or carrying.|||Innate Spellcasting. The dao's innate spellcasting ability is Charisma (spell save DC 14, +6 to hit with spell attacks). It can innately cast the following spells, requiring no material components:|||Sure-Footed. The dao has advantage on Strength and Dexterity saving throws made against effects that would knock it prone.|||Multiattack. The dao makes two fist attacks or two maul attacks.|||Fist. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.|||Maul. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 20 (4d6 + 6) bludgeoning damage. If the target is a Huge or smaller creature, it must succeed on a DC 18 Strength check or be knocked prone.","18 (natural armor)","187 (15d10 + 105)"," 30 ft., burrow 30 ft., fly 30 ft.","23 (+6)","12 (+1)","24 (+7)","12 (+1)","13 (+1)","14 (+2)","Saving Throws: Int +5, Wis +5, Cha +6|||Condition Immunities: petrified|||"," darkvision 120 ft., passive Perception 11",Terran,"11 (7200 XP)",5,https://www.aidedd.org/dnd/images/dao.jpg
88,Darkmantle,"Small monstrosity, unaligned","Echolocation. The darkmantle can't use its blindsight while deafened.|||False Appearance. While the darkmantle remains motionless, it is indistinguishable from a cave formation such as a stalactite or stalagmite.|||Crush. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 6 (1d6 + 3) bludgeoning damage, and the darkmantle attaches to the target. If the target is Medium or smaller and the darkmantle has advantage on the attack roll, it attaches by engulfing the target's head, and the target is also blinded and unable to breathe while the darkmantle is attached in this way. While attached to the target, the darkmantle can attack no other creature except the target but has advantage on its attack rolls. The darkmantle's speed also becomes 0, it can't benefit from any bonus to its speed, and it moves with the target. A creature can detach the darkmantle by making a successful DC 13 Strength check as an action. On its turn, the darkmantle can detach itself from the target by using 5 feet of movement.|||Darkness Aura (1/Day). A 15-foot radius of magical darkness extends out from the darkmantle, moves with it, and spreads around corners. The darkness lasts as long as the darkmantle maintains concentration, up to 10 minutes (as if concentrating on a spell). Darkvision can't penetrate this darkness, and no natural light can illuminate it. If any of the darkness overlaps with an area of light created by a spell of 2nd level or lower, the spell creating the light is dispelled.",11,"22 (5d6 + 5)"," 10 ft., fly 30 ft.","16 (+3)","12 (+1)","13 (+1)","2 (-4)","10 (+0)","5 (-3)","Skills: Stealth +3|||"," blindsight 60 ft., passive Perception 10","—","1/2 (100 XP)",5,https://www.aidedd.org/dnd/images/darkmantle.jpg
89,"Death Dog","Medium monstrosity, neutral evil","Two-Headed. The dog has advantage on Wisdom (Perception) checks and on saving throws against being blinded, charmed, deafened, frightened, stunned, or knocked unconscious.|||Multiattack. The dog makes two bite attacks.|||Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage. If the target is a creature, it must succeed on a DC 12 Constitution saving throw against disease or become poisoned until the disease is cured. Every 24 hours that elapse, the creature must repeat the saving throw, reducing its hit point maximum by 5 (1d10) on a failure. This reduction lasts until the disease is cured. The creature dies if the disease reduces its hit point maximum to 0.",12,"39 (6d8 + 12)","40 ft.","15 (+2)","14 (+2)","14 (+2)","3 (-4)","13 (+1)","6 (-2)","Skills: Perception +5, Stealth +4|||"," darkvision 120 ft., passive Perception 15","—","1 (200 XP)",5,https://www.aidedd.org/dnd/images/death-dog.jpg
